"subjectid" "activityname" "variable" "mean"
2 "WALKING" "fbodyaccmagmean" -0.514569861316887
2 "WALKING" "fbodyaccmagstd" -0.646662308457285
2 "WALKING" "fbodyaccmagmeanfreq" 0.192199738218212
2 "WALKING" "fbodybodyaccjerkmagmean" -0.509746432970861
2 "WALKING" "fbodybodyaccjerkmagstd" -0.518800797709272
2 "WALKING" "fbodybodyaccjerkmagmeanfreq" 0.193066821118212
2 "WALKING" "fbodybodygyromagmean" -0.699742945221854
2 "WALKING" "fbodybodygyromagstd" -0.725310337688742
2 "WALKING" "fbodybodygyromagmeanfreq" 0.0471324812379801
2 "WALKING" "fbodybodygyrojerkmagmean" -0.751615078360927
2 "WALKING" "fbodybodygyrojerkmagstd" -0.744194981440397
2 "WALKING" "fbodybodygyrojerkmagmeanfreq" 0.124612068599768
3 "WALKING" "tbodyaccmeanx" 0.273428719636364
3 "WALKING" "tbodyaccmeany" -0.017856067384956
3 "WALKING" "tbodyaccmeanz" -0.106492632429097
3 "WALKING" "tbodyaccstdx" -0.623413602046921
3 "WALKING" "tbodyaccstdy" -0.480015920697654
3 "WALKING" "tbodyaccstdz" -0.653625579293255
3 "WALKING" "tgravityaccmeanx" 0.707814353343108
3 "WALKING" "tgravityaccmeany" -0.0260590480328739
3 "WALKING" "tgravityaccmeanz" 0.0480937904190616
3 "WALKING" "tgravityaccstdx" -0.966457565630499
3 "WALKING" "tgravityaccstdy" -0.9445645371261
3 "WALKING" "tgravityaccstdz" -0.926966278211144
3 "WALKING" "tbodyaccjerkmeanx" 0.0701731261988856
3 "WALKING" "tbodyaccjerkmeany" 0.0144664329060411
3 "WALKING" "tbodyaccjerkmeanz" -0.000526818872875366
3 "WALKING" "tbodyaccjerkstdx" -0.635484688041056
3 "WALKING" "tbodyaccjerkstdy" -0.55721186773783
3 "WALKING" "tbodyaccjerkstdz" -0.796066240234604
3 "WALKING" "tbodygyromeanx" -0.0248490682828446
3 "WALKING" "tbodygyromeany" -0.0743565308442815
3 "WALKING" "tbodygyromeanz" 0.0866875497119062
3 "WALKING" "tbodygyrostdx" -0.699262195705865
3 "WALKING" "tbodygyrostdy" -0.76302218170088
3 "WALKING" "tbodygyrostdz" -0.709483440322581
3 "WALKING" "tbodygyrojerkmeanx" -0.0991554609633431
3 "WALKING" "tbodygyrojerkmeany" -0.0401923943695015
3 "WALKING" "tbodygyrojerkmeanz" -0.0521178264170088
3 "WALKING" "tbodygyrojerkstdx" -0.689328428607038
3 "WALKING" "tbodygyrojerkstdy" -0.842659862111437
3 "WALKING" "tbodygyrojerkstdz" -0.743028500565982
3 "WALKING" "tbodyaccmagmean" -0.563140802770059
3 "WALKING" "tbodyaccmagstd" -0.591224780306452
3 "WALKING" "tgravityaccmagmean" -0.563140802770059
3 "WALKING" "tgravityaccmagstd" -0.591224780306452
3 "WALKING" "tbodyaccjerkmagmean" -0.650182434328446
3 "WALKING" "tbodyaccjerkmagstd" -0.607658214170381
3 "WALKING" "tbodygyromagmean" -0.643150121648094
3 "WALKING" "tbodygyromagstd" -0.674010290979472
3 "WALKING" "tbodygyrojerkmagmean" -0.784056656246334
3 "WALKING" "tbodygyrojerkmagstd" -0.80366136372434
3 "WALKING" "fbodyaccmeanx" -0.625733289873607
3 "WALKING" "fbodyaccmeany" -0.501779938505279
3 "WALKING" "fbodyaccmeanz" -0.699656828592375
3 "WALKING" "fbodyaccstdx" -0.623805015199413
3 "WALKING" "fbodyaccstdy" -0.502753639795894
3 "WALKING" "fbodyaccstdz" -0.657443765803519
3 "WALKING" "fbodyaccmeanfreqx" -0.192817340495308
3 "WALKING" "fbodyaccmeanfreqy" 0.0389282523284457
3 "WALKING" "fbodyaccmeanfreqz" 0.00447261449052786
3 "WALKING" "fbodyaccjerkmeanx" -0.645893496630499
3 "WALKING" "fbodyaccjerkmeany" -0.582949919157742
3 "WALKING" "fbodyaccjerkmeanz" -0.780101644193548
3 "WALKING" "fbodyaccjerkstdx" -0.657844055881525
3 "WALKING" "fbodyaccjerkstdy" -0.559851186088408
3 "WALKING" "fbodyaccjerkstdz" -0.81080601659824
3 "WALKING" "fbodyaccjerkmeanfreqx" -0.0476941200470968
3 "WALKING" "fbodyaccjerkmeanfreqy" -0.236874240885924
3 "WALKING" "fbodyaccjerkmeanfreqz" -0.193657539305073
3 "WALKING" "fbodygyromeanx" -0.642097719778592
3 "WALKING" "fbodygyromeany" -0.775144985073314
3 "WALKING" "fbodygyromeanz" -0.670734708996481
3 "WALKING" "fbodygyrostdx" -0.719276622702346
3 "WALKING" "fbodygyrostdy" -0.758505287214076
3 "WALKING" "fbodygyrostdz" -0.751008875659824
3 "WALKING" "fbodygyromeanfreqx" -0.102568067670674
3 "WALKING" "fbodygyromeanfreqy" -0.167675025582991
3 "WALKING" "fbodygyromeanfreqz" -0.0321862688221114
3 "WALKING" "fbodyaccmagmean" -0.579076453758064
3 "WALKING" "fbodyaccmagstd" -0.663079838985044
3 "WALKING" "fbodyaccmagmeanfreq" 0.0770665587562757
3 "WALKING" "fbodybodyaccjerkmagmean" -0.604752108072727
3 "WALKING" "fbodybodyaccjerkmagstd" -0.615643694857361
3 "WALKING" "fbodybodyaccjerkmagmeanfreq" 0.11231984174566
3 "WALKING" "fbodybodygyromagmean" -0.716822144279179
3 "WALKING" "fbodybodygyromagstd" -0.703839403007038
3 "WALKING" "fbodybodygyromagmeanfreq" -0.0846075231245126
3 "WALKING" "fbodybodygyrojerkmagmean" -0.810085498651026
3 "WALKING" "fbodybodygyrojerkmagstd" -0.810032718739003
3 "WALKING" "fbodybodygyrojerkmagmeanfreq" 0.0599628733252199
4 "WALKING" "tbodyaccmeanx" 0.277034464752577
4 "WALKING" "tbodyaccmeany" -0.0133496817746907
4 "WALKING" "tbodyaccmeanz" -0.105916135927835
4 "WALKING" "tbodyaccstdx" -0.68386446609433
4 "WALKING" "tbodyaccstdy" -0.589609330539691
4 "WALKING" "tbodyaccstdz" -0.741959040257732
4 "WALKING" "tgravityaccmeanx" 0.731456509896907
4 "WALKING" "tgravityaccmeany" 0.072347989306416
4 "WALKING" "tgravityaccmeanz" 0.193993433768041
4 "WALKING" "tgravityaccstdx" -0.967576704329897
4 "WALKING" "tgravityaccstdy" -0.94170652321134
4 "WALKING" "tgravityaccstdz" -0.936724233273196
4 "WALKING" "tbodyaccjerkmeanx" 0.0780162237953608
4 "WALKING" "tbodyaccjerkmeany" -0.0010311298138299
4 "WALKING" "tbodyaccjerkmeanz" -0.00737070069603093
4 "WALKING" "tbodyaccjerkstdx" -0.701066737438144
4 "WALKING" "tbodyaccjerkstdy" -0.670976701376289
4 "WALKING" "tbodyaccjerkstdz" -0.859502524793814
4 "WALKING" "tbodygyromeanx" -0.0298726752979381
4 "WALKING" "tbodygyromeany" -0.0750086556675258
4 "WALKING" "tbodygyromeanz" 0.0956607416628866
4 "WALKING" "tbodygyrostdx" -0.750915960835052
4 "WALKING" "tbodygyrostdy" -0.828888294742268
4 "WALKING" "tbodygyrostdz" -0.745904225824742
4 "WALKING" "tbodygyrojerkmeanx" -0.10509869233866
4 "WALKING" "tbodygyrojerkmeany" -0.0410624426912371
4 "WALKING" "tbodygyrojerkmeanz" -0.060866534304433
4 "WALKING" "tbodygyrojerkstdx" -0.778479585721649
4 "WALKING" "tbodygyrojerkstdy" -0.911436316752577
4 "WALKING" "tbodygyrojerkstdz" -0.790578254329897
4 "WALKING" "tbodyaccmagmean" -0.637532979814948
4 "WALKING" "tbodyaccmagstd" -0.670122122716495
4 "WALKING" "tgravityaccmagmean" -0.637532979814948
4 "WALKING" "tgravityaccmagstd" -0.670122122716495
4 "WALKING" "tbodyaccjerkmagmean" -0.72234055742268
4 "WALKING" "tbodyaccjerkmagstd" -0.71024608685567
4 "WALKING" "tbodygyromagmean" -0.708221087886598
4 "WALKING" "tbodygyromagstd" -0.749105473365979
4 "WALKING" "tbodygyrojerkmagmean" -0.849581355824742
4 "WALKING" "tbodygyrojerkmagstd" -0.870579517938144
4 "WALKING" "fbodyaccmeanx" -0.698994344226804
4 "WALKING" "fbodyaccmeany" -0.610966605674742
4 "WALKING" "fbodyaccmeanz" -0.784964119020619
4 "WALKING" "fbodyaccstdx" -0.679316495457474
4 "WALKING" "fbodyaccstdy" -0.60587907902268
4 "WALKING" "fbodyaccstdz" -0.739920171907216
4 "WALKING" "fbodyaccmeanfreqx" -0.15574790130299
4 "WALKING" "fbodyaccmeanfreqy" 0.0520271215242268
4 "WALKING" "fbodyaccmeanfreqz" -0.0138445406976804
4 "WALKING" "fbodyaccjerkmeanx" -0.717973724971649
4 "WALKING" "fbodyaccjerkmeany" -0.684648403917526
4 "WALKING" "fbodyaccjerkmeanz" -0.845383895412371
4 "WALKING" "fbodyaccjerkstdx" -0.710952957814433
4 "WALKING" "fbodyaccjerkstdy" -0.679116699128866
4 "WALKING" "fbodyaccjerkstdz" -0.872348615876289
4 "WALKING" "fbodyaccjerkmeanfreqx" 0.0388340995747423
4 "WALKING" "fbodyaccjerkmeanfreqy" -0.174386827172165
4 "WALKING" "fbodyaccjerkmeanfreqz" -0.0764758920417526
4 "WALKING" "fbodygyromeanx" -0.708097003278351
4 "WALKING" "fbodygyromeany" -0.851859241237113
4 "WALKING" "fbodygyromeanz" -0.723913683350515
4 "WALKING" "fbodygyrostdx" -0.765931837365979
4 "WALKING" "fbodygyrostdy" -0.818105282886598
4 "WALKING" "fbodygyrostdz" -0.778863649278351
4 "WALKING" "fbodygyromeanfreqx" -0.145349222123196
4 "WALKING" "fbodygyromeanfreqy" -0.357592715106186
4 "WALKING" "fbodygyromeanfreqz" -0.023592604357732
4 "WALKING" "fbodyaccmagmean" -0.668273665958763
4 "WALKING" "fbodyaccmagstd" -0.724979750463917
4 "WALKING" "fbodyaccmagmeanfreq" 0.0691602833970103
4 "WALKING" "fbodybodyaccjerkmagmean" -0.702045896773196
4 "WALKING" "fbodybodyaccjerkmagstd" -0.723261097164948
4 "WALKING" "fbodybodyaccjerkmagmeanfreq" 0.165043041249278
4 "WALKING" "fbodybodygyromagmean" -0.785172936701031
4 "WALKING" "fbodybodygyromagstd" -0.769330760360825
4 "WALKING" "fbodybodygyromagmeanfreq" -0.157891340330412
4 "WALKING" "fbodybodygyrojerkmagmean" -0.86760194427835
4 "WALKING" "fbodybodygyrojerkmagstd" -0.884187806804124
4 "WALKING" "fbodybodygyrojerkmagmeanfreq" 0.144910348074227
4 "WALKING_UPSTAIRS" "tbodyaccmeanx" 0.269685855146341
4 "WALKING_UPSTAIRS" "tbodyaccmeany" -0.0171085099442602
4 "WALKING_UPSTAIRS" "tbodyaccmeanz" -0.110053359325203
4 "WALKING_UPSTAIRS" "tbodyaccstdx" -0.481157815330894
4 "WALKING_UPSTAIRS" "tbodyaccstdy" -0.384255322007236
4 "WALKING_UPSTAIRS" "tbodyaccstdz" -0.658285719430894
4 "WALKING_UPSTAIRS" "tgravityaccmeanx" 0.667377493902439
4 "WALKING_UPSTAIRS" "tgravityaccmeany" 0.176064219895122
4 "WALKING_UPSTAIRS" "tgravityaccmeanz" 0.117030634772358
4 "WALKING_UPSTAIRS" "tgravityaccstdx" -0.954845868211382
4 "WALKING_UPSTAIRS" "tgravityaccstdy" -0.940959838617886
4 "WALKING_UPSTAIRS" "tgravityaccstdz" -0.948783616341463
4 "WALKING_UPSTAIRS" "tbodyaccjerkmeanx" 0.080200587601626
4 "WALKING_UPSTAIRS" "tbodyaccjerkmeany" 0.0106812194621382
4 "WALKING_UPSTAIRS" "tbodyaccjerkmeanz" -0.00737856315243902
4 "WALKING_UPSTAIRS" "tbodyaccjerkstdx" -0.522686832030976
4 "WALKING_UPSTAIRS" "tbodyaccjerkstdy" -0.446980128646341
4 "WALKING_UPSTAIRS" "tbodyaccjerkstdz" -0.817881987560976
4 "WALKING_UPSTAIRS" "tbodygyromeanx" -0.027473566188374
4 "WALKING_UPSTAIRS" "tbodygyromeany" -0.0845813729861789
4 "WALKING_UPSTAIRS" "tbodygyromeanz" 0.0958069867471545
4 "WALKING_UPSTAIRS" "tbodygyrostdx" -0.623295736308943
4 "WALKING_UPSTAIRS" "tbodygyrostdy" -0.749889456666667
4 "WALKING_UPSTAIRS" "tbodygyrostdz" -0.695570737073171
4 "WALKING_UPSTAIRS" "tbodygyrojerkmeanx" -0.112213469653659
4 "WALKING_UPSTAIRS" "tbodygyrojerkmeany" -0.0384344734528455
4 "WALKING_UPSTAIRS" "tbodygyrojerkmeanz" -0.0529863681443902
4 "WALKING_UPSTAIRS" "tbodygyrojerkstdx" -0.637528066829268
4 "WALKING_UPSTAIRS" "tbodygyrojerkstdy" -0.888412003333333
4 "WALKING_UPSTAIRS" "tbodygyrojerkstdz" -0.681795418349593
4 "WALKING_UPSTAIRS" "tbodyaccmagmean" -0.441789745892683
4 "WALKING_UPSTAIRS" "tbodyaccmagstd" -0.50629736504065
4 "WALKING_UPSTAIRS" "tgravityaccmagmean" -0.441789745892683
4 "WALKING_UPSTAIRS" "tgravityaccmagstd" -0.50629736504065
4 "WALKING_UPSTAIRS" "tbodyaccjerkmagmean" -0.551665062753089
4 "WALKING_UPSTAIRS" "tbodyaccjerkmagstd" -0.547890232756098
4 "WALKING_UPSTAIRS" "tbodygyromagmean" -0.574385249590244
4 "WALKING_UPSTAIRS" "tbodygyromagstd" -0.639915777398374
4 "WALKING_UPSTAIRS" "tbodygyrojerkmagmean" -0.771259192195122
4 "WALKING_UPSTAIRS" "tbodygyrojerkmagstd" -0.802559941951219
4 "WALKING_UPSTAIRS" "fbodyaccmeanx" -0.518103409715447
4 "WALKING_UPSTAIRS" "fbodyaccmeany" -0.391561268041463
4 "WALKING_UPSTAIRS" "fbodyaccmeanz" -0.708346275365854
4 "WALKING_UPSTAIRS" "fbodyaccstdx" -0.468588371045528
4 "WALKING_UPSTAIRS" "fbodyaccstdy" -0.422334649479756
4 "WALKING_UPSTAIRS" "fbodyaccstdz" -0.659623483821138
4 "WALKING_UPSTAIRS" "fbodyaccmeanfreqx" -0.229896701265041
4 "WALKING_UPSTAIRS" "fbodyaccmeanfreqy" 0.136415181912195
4 "WALKING_UPSTAIRS" "fbodyaccmeanfreqz" -0.0204555236743252
4 "WALKING_UPSTAIRS" "fbodyaccjerkmeanx" -0.548003358486179
4 "WALKING_UPSTAIRS" "fbodyaccjerkmeany" -0.470861077819187
4 "WALKING_UPSTAIRS" "fbodyaccjerkmeanz" -0.793248930406504
4 "WALKING_UPSTAIRS" "fbodyaccjerkstdx" -0.540002452644715
4 "WALKING_UPSTAIRS" "fbodyaccjerkstdy" -0.459377588636585
4 "WALKING_UPSTAIRS" "fbodyaccjerkstdz" -0.841927060081301
4 "WALKING_UPSTAIRS" "fbodyaccjerkmeanfreqx" -0.0626525261543089
4 "WALKING_UPSTAIRS" "fbodyaccjerkmeanfreqy" -0.190358689715447
4 "WALKING_UPSTAIRS" "fbodyaccjerkmeanfreqz" -0.164332976294309
4 "WALKING_UPSTAIRS" "fbodygyromeanx" -0.537445270313821
4 "WALKING_UPSTAIRS" "fbodygyromeany" -0.799459630325203
4 "WALKING_UPSTAIRS" "fbodygyromeanz" -0.634729117447154
4 "WALKING_UPSTAIRS" "fbodygyrostdx" -0.652062731170732
4 "WALKING_UPSTAIRS" "fbodygyrostdy" -0.727336206422764
4 "WALKING_UPSTAIRS" "fbodygyrostdz" -0.748519078617886
4 "WALKING_UPSTAIRS" "fbodygyromeanfreqx" -0.0761993841779675
4 "WALKING_UPSTAIRS" "fbodygyromeanfreqy" -0.403312438185366
4 "WALKING_UPSTAIRS" "fbodygyromeanfreqz" 0.0995517018569106
4 "WALKING_UPSTAIRS" "fbodyaccmagmean" -0.497723469494309
4 "WALKING_UPSTAIRS" "fbodyaccmagstd" -0.590882542479675
4 "WALKING_UPSTAIRS" "fbodyaccmagmeanfreq" 0.139269821727642
4 "WALKING_UPSTAIRS" "fbodybodyaccjerkmagmean" -0.529301794643089
4 "WALKING_UPSTAIRS" "fbodybodyaccjerkmagstd" -0.576991683357724
4 "WALKING_UPSTAIRS" "fbodybodyaccjerkmagmeanfreq" 0.153282705439837
4 "WALKING_UPSTAIRS" "fbodybodygyromagmean" -0.683314955211382
4 "WALKING_UPSTAIRS" "fbodybodygyromagstd" -0.674631635121951
4 "WALKING_UPSTAIRS" "fbodybodygyromagmeanfreq" -0.0842086255799187
4 "WALKING_UPSTAIRS" "fbodybodygyrojerkmagmean" -0.793458132276423
4 "WALKING_UPSTAIRS" "fbodybodygyrojerkmagstd" -0.829831474634146
4 "WALKING_UPSTAIRS" "fbodybodygyrojerkmagmeanfreq" 0.181417870697967
5 "WALKING" "tbodyaccmeanx" 0.279177960301325
5 "WALKING" "tbodyaccmeany" -0.0154833455336192
5 "WALKING" "tbodyaccmeanz" -0.105661736816887
5 "WALKING" "tbodyaccstdx" -0.507691011391722
5 "WALKING" "tbodyaccstdy" -0.402724906078146
5 "WALKING" "tbodyaccstdz" -0.646443640175497
5 "WALKING" "tgravityaccmeanx" 0.698153719072848
5 "WALKING" "tgravityaccmeany" 0.112313109736755
5 "WALKING" "tgravityaccmeanz" 0.0921607197449904
5 "WALKING" "tgravityaccstdx" -0.964629108807947
5 "WALKING" "tgravityaccstdy" -0.939973777950331
5 "WALKING" "tgravityaccstdz" -0.94207867884106
5 "WALKING" "tbodyaccjerkmeanx" 0.0841019899622517
5 "WALKING" "tbodyaccjerkmeany" 0.0017656830384106
5 "WALKING" "tbodyaccjerkmeanz" -0.0029537113427351
5 "WALKING" "tbodyaccjerkstdx" -0.575890535679801
5 "WALKING" "tbodyaccjerkstdy" -0.506544358609603
5 "WALKING" "tbodyaccjerkstdz" -0.78456199486755
5 "WALKING" "tbodygyromeanx" -0.0294516873643046
5 "WALKING" "tbodygyromeany" -0.0774316445596026
5 "WALKING" "tbodygyromeanz" 0.0866267116745033
5 "WALKING" "tbodygyrostdx" -0.709955676983444
5 "WALKING" "tbodygyrostdy" -0.705638306688742
5 "WALKING" "tbodygyrostdz" -0.606589817380795
5 "WALKING" "tbodygyrojerkmeanx" -0.103522877147351
5 "WALKING" "tbodygyrojerkmeany" -0.0490624519374172
5 "WALKING" "tbodygyrojerkmeanz" -0.0506258160122517
5 "WALKING" "tbodygyrojerkstdx" -0.662581310334437
5 "WALKING" "tbodygyrojerkstdy" -0.774114270364238
5 "WALKING" "tbodygyrojerkstdz" -0.564680771249007
5 "WALKING" "tbodyaccmagmean" -0.460866415568709
5 "WALKING" "tbodyaccmagstd" -0.52162345171192
5 "WALKING" "tgravityaccmagmean" -0.460866415568709
5 "WALKING" "tgravityaccmagstd" -0.52162345171192
5 "WALKING" "tbodyaccjerkmagmean" -0.589313870006622
5 "WALKING" "tbodyaccjerkmagstd" -0.589031268133113
5 "WALKING" "tbodygyromagmean" -0.602770284825828
5 "WALKING" "tbodygyromagstd" -0.664078383532781
5 "WALKING" "tbodygyrojerkmagmean" -0.707383517582782
